fecha,año,mes,dia_año,estacion_seca,grid_lat,grid_lon,temperatura_max,temperatura_min,temperatura_media,humedad_relativa,viento_max,precipitacion_dia,precipitacion_7d,precipitacion_14d,precipitacion_30d,incendio
2017-03-14,2017,3,73,0,3.45,-76.555,24.2,18.7,20.8,86.0,8.4,6.4,110.89999999999999,152.50000000000003,213.40000000000003,0
2017-05-23,2017,5,143,0,3.305,-76.555,25.0,17.1,21.0,84.0,7.9,4.9,175.39999999999998,272.90000000000003,651.3000000000001,0
2017-07-25,2017,7,206,1,3.45,-76.54,26.3,18.9,21.8,88.0,8.0,15.5,195.9,320.50000000000006,683.0,0
2017-11-30,2017,11,334,0,3.49,-76.605,21.6,15.9,18.0,87.0,11.7,4.9,18.7,118.6,248.29999999999995,0
2018-01-13,2018,1,13,1,3.45,-76.555,22.0,16.9,19.5,90.0,5.7,13.1,64.8,142.20000000000002,219.7,0
2018-01-26,2018,1,26,1,3.48,-76.45,24.1,17.9,20.7,88.0,12.4,10.5,152.2,294.29999999999995,464.7,0
2018-04-13,2018,4,103,0,3.315,-76.5,23.7,17.8,20.1,88.0,11.5,15.8,78.0,203.89999999999998,411.5,0
2018-05-04,2018,5,124,0,3.425,-76.485,26.2,18.2,21.8,85.0,5.4,15.1,141.70000000000002,302.2,552.3,0
2018-05-31,2018,5,151,0,3.45,-76.61,23.0,15.4,18.6,81.0,8.3,1.3,47.8,116.4,246.09999999999997,0
2018-06-13,2018,6,164,1,3.515,-76.51,25.2,18.1,21.4,90.0,7.9,4.6,170.8,367.0,693.3,0
2018-09-08,2018,9,251,0,3.535,-76.545,24.9,16.4,20.2,82.0,6.9,6.6,83.39999999999999,194.89999999999998,337.6000000000001,1
2018-09-08,2018,9,251,0,3.5300000000000002,-76.54,25.4,16.9,20.7,82.0,6.9,6.6,83.39999999999999,194.89999999999998,337.6000000000001,1
2018-09-08,2018,9,251,0,3.5300000000000002,-76.545,25.0,16.5,20.4,82.0,6.9,6.6,83.39999999999999,194.89999999999998,337.6000000000001,1
2018-10-30,2018,10,303,0,3.345,-76.55,24.1,17.6,20.3,87.0,10.4,8.8,200.8,345.6000000000001,509.9000000000001,0
2018-11-01,2018,11,305,0,3.525,-76.545,22.8,16.8,19.0,88.0,10.3,5.9,64.6,187.6,369.3000000000001,0
2019-05-20,2019,5,140,0,3.505,-76.47,24.1,19.0,21.0,87.0,9.1,2.9,246.50000000000003,371.5,707.6999999999999,0
2019-06-12,2019,6,163,1,3.525,-76.455,25.1,17.4,20.7,87.0,12.3,21.8,137.8,195.99999999999997,450.3,0
2019-06-27,2019,6,178,1,3.545,-76.595,19.8,12.2,15.8,91.0,12.1,3.6,62.199999999999996,107.6,316.70000000000005,0
2019-08-18,2019,8,230,1,3.525,-76.545,24.8,16.2,20.3,79.0,9.2,0.1,7.8999999999999995,18.900000000000002,138.4,0
2019-09-12,2019,9,255,0,3.45,-76.54,26.8,19.1,22.3,88.0,10.6,50.2,62.2,210.89999999999998,313.79999999999995,0
2019-09-15,2019,9,258,0,3.45,-76.54,24.9,18.1,21.2,88.0,10.5,26.8,128.9,275.5,391.2,0
2020-02-04,2020,2,35,1,3.49,-76.535,26.2,17.6,22.0,80.0,9.0,0.9,15.1,54.7,107.6,0
2020-08-07,2020,8,220,1,3.47,-76.51,26.5,17.9,21.6,88.0,8.9,7.4,77.1,252.90000000000003,606.6999999999999,0
2020-08-18,2020,8,231,1,3.535,-76.51,25.7,19.0,21.5,91.0,7.3,14.8,200.39999999999998,242.4,500.90000000000003,0
2020-12-03,2020,12,338,1,3.31,-76.47,23.8,17.0,20.5,83.0,8.0,5.8,64.19999999999999,131.39999999999998,290.20000000000005,0
2021-02-06,2021,2,37,1,3.345,-76.55,23.3,18.3,20.7,84.0,8.0,7.6,7.200000000000001,29.500000000000004,96.09999999999998,0
2021-03-13,2021,3,72,0,3.45,-76.555,24.5,18.2,20.9,83.0,7.8,0.7,104.4,166.00000000000003,306.5,0
2021-04-30,2021,4,120,0,3.345,-76.55,20.4,17.9,19.0,91.0,5.4,12.2,100.5,180.5,260.5,0
2021-06-06,2021,6,157,1,3.515,-76.625,17.4,13.6,15.1,97.0,9.6,35.9,79.30000000000001,138.89999999999998,366.59999999999997,0
2021-06-27,2021,6,178,1,3.53,-76.62,19.2,12.5,15.2,90.0,9.2,2.8,64.5,183.39999999999998,350.3999999999999,0
2021-08-10,2021,8,222,1,3.4,-76.60000000000001,23.1,16.3,19.1,89.0,8.0,10.3,0.0,0.0,0.0,1
2021-08-17,2021,8,229,1,3.305,-76.59,20.6,15.0,17.3,89.0,7.0,3.2,0.0,0.0,0.0,0
2021-08-23,2021,8,235,1,3.32,-76.61,19.7,13.5,15.7,91.0,12.0,87.7,0.0,0.0,0.0,0
2021-08-24,2021,8,236,1,3.35,-76.55,22.1,18.3,19.7,94.0,7.1,22.8,0.0,0.0,0.0,0
2021-08-31,2021,8,243,1,3.455,-76.575,22.5,17.2,19.7,85.0,6.6,4.3,0.0,0.0,0.0,0
2021-09-03,2021,9,246,0,3.47,-76.47,25.7,18.2,21.1,89.0,7.4,31.1,0.0,0.0,0.0,0
2021-09-05,2021,9,248,0,3.515,-76.49,25.7,18.0,21.3,90.0,8.6,20.7,0.0,0.0,0.0,1
2021-09-17,2021,9,260,0,3.33,-76.56,27.5,17.1,22.1,67.0,8.4,5.0,0.0,0.0,0.0,0
2021-09-29,2021,9,272,0,3.365,-76.61,20.5,13.6,16.3,87.0,12.4,30.1,0.0,0.0,0.0,0
2021-10-01,2021,10,274,0,3.32,-76.47,26.7,16.6,21.3,78.0,6.0,1.6,0.0,0.0,0.0,0
2021-10-02,2021,10,275,0,3.455,-76.585,24.6,17.7,20.7,86.0,8.7,8.4,0.0,0.0,0.0,0
